iso,freeMB,commitMB,chromeProcs,chromeWsMB,nodeProcs,nodeWsMB,cursorWsMB
2026-07-30T20:03:29,10088,14173,0,0,5,305,8273
2026-07-30T20:04:00,9307,14954,11,1041,5,315,8378
2026-07-30T20:04:30,9713,14548,11,1492,5,317,7487
2026-07-30T20:05:00,9444,14817,11,1521,5,324,7621
2026-07-30T20:05:30,9276,14985,12,1583,6,475,7455
2026-07-30T20:06:00,9247,15013,11,1556,5,325,7713
2026-07-30T20:06:31,9178,15082,11,1594,5,325,7821
2026-07-30T20:07:01,8832,15429,11,1625,5,326,7957
2026-07-30T20:07:31,8410,15851,11,1625,5,326,8388
2026-07-30T20:08:01,8053,16208,11,1648,5,328,8594
2026-07-30T20:08:31,8708,15552,11,1642,5,329,7922
2026-07-30T20:09:01,9147,15113,11,1365,5,329,7747
2026-07-30T20:09:31,9349,14912,11,1291,5,329,7661
2026-07-30T20:10:02,9481,14780,11,1156,5,329,7699
2026-07-30T20:10:32,8978,15283,20,2052,6,392,7574
2026-07-30T20:11:02,8959,15301,11,1634,5,329,7713
2026-07-30T20:11:32,8898,15363,11,1653,5,329,7797
2026-07-30T20:12:02,8690,15571,11,1666,5,329,7949
2026-07-30T20:12:33,8589,15672,11,1665,5,329,7916
2026-07-30T20:13:03,8438,15823,20,2209,6,404,7851
2026-07-30T20:13:33,7464,16797,21,2810,6,403,8265
2026-07-30T20:14:03,7420,16840,21,3164,6,406,7757
2026-07-30T20:14:33,7384,16876,21,3217,6,413,7927
2026-07-30T20:15:04,7504,16757,21,3203,6,413,7857
2026-07-30T20:15:34,7563,16698,21,3254,6,413,7644
2026-07-30T20:16:04,4727,19534,21,3265,6,2749,8279
2026-07-30T20:16:34,2375,21886,21,3310,6,5106,8413
2026-07-30T20:17:04,7283,16978,21,3306,7,549,8378
2026-07-30T20:17:35,8967,15294,19,2267,7,493,8358
2026-07-30T20:18:05,9088,15173,21,2741,6,398,7490
2026-07-30T20:18:35,8879,15382,21,3116,6,399,7534
2026-07-30T20:19:05,8081,16179,21,3170,6,403,7725
2026-07-30T20:19:35,8704,15557,21,3245,6,415,7813
2026-07-30T20:20:06,8839,15422,21,3218,6,416,7755
2026-07-30T20:20:36,8821,15439,21,3263,6,420,7643
2026-07-30T20:21:06,10031,14230,11,1566,6,443,7667
2026-07-30T20:21:36,10063,14197,11,1618,6,443,7656
2026-07-30T20:22:06,10533,13728,11,1610,6,444,7697
2026-07-30T20:22:37,10058,14203,11,1643,6,445,7697
2026-07-30T20:23:07,10259,14002,11,1588,6,444,7698
2026-07-30T20:23:37,10092,14169,11,1635,6,448,7918
2026-07-30T20:24:07,10124,14136,11,1705,6,448,7627
2026-07-30T20:24:37,10002,14259,11,1678,6,449,7619
2026-07-30T20:25:20,9892,14368,11,1622,6,450,7662
2026-07-30T20:53:39,9281,14980,11,1584,5,338,8161
2026-07-30T20:54:10,7615,16646,11,1633,5,365,9487
2026-07-30T20:54:40,6101,18160,11,1622,5,365,10562
2026-07-30T20:55:13,5609,18651,11,1668,5,364,11008
2026-07-30T20:55:43,4648,19612,11,1661,5,365,11852
2026-07-30T20:56:13,6643,17617,11,1666,5,365,9105
2026-07-30T20:56:43,7114,17147,11,1683,5,364,8588
2026-07-30T20:57:14,7431,16830,11,1690,5,364,8377
2026-07-30T20:57:44,7289,16972,11,1648,5,364,8479
2026-07-30T20:58:14,7816,16445,11,1353,5,364,8316
2026-07-30T20:58:44,7692,16569,11,1327,5,364,8324
2026-07-30T20:59:14,7813,16448,11,1325,5,364,8381
2026-07-30T20:59:44,4692,19569,11,1320,5,1467,10343
2026-07-30T21:00:15,3396,20865,0,0,3,4911,9339
2026-07-30T21:00:45,8281,15979,0,0,3,183,9323
2026-07-30T21:01:15,5655,18606,0,0,4,2838,9185
2026-07-30T21:01:45,2756,21505,11,1088,4,5027,9069
2026-07-30T21:02:15,7169,17091,11,1504,4,254,9091
2026-07-30T21:02:45,7178,17082,11,1507,4,261,9013
2026-07-30T21:03:16,2828,21433,12,1627,4,4546,8910
2026-07-30T21:03:46,7273,16987,11,1568,4,285,8887
2026-07-30T21:04:16,7396,16865,11,1595,4,286,8811
2026-07-30T21:04:46,7897,16364,11,1597,4,298,8252
2026-07-30T21:05:16,7733,16528,11,1641,4,300,8390
2026-07-30T21:05:46,7742,16519,11,1634,4,300,8356
2026-07-30T21:06:17,7554,16706,11,1678,4,302,8560
