netPnL,closeTime,openTime,tradeId,ticker,direction,setup,rMultiple,quantity,riskAmount,mae_r,mfe_r,mae_points,mfe_points,highestPrice,lowestPrice,plannedRR,entryPrice,exitPrice,stopLoss,takeProfit,commission_at_entry,spread_pips_at_entry,pip_value_at_entry,closeType,durationMinutes,status,originalRiskAmount,rewardToRiskRatio,mfe,mae,total_mfe_r,capture_ratio,management_gap,exit_timing_gap,would_have_won,exit_confirmed,dayOfWeek,hourOfEntry,hourOfExit,month,year,holdingTimeHours,holdingTimeMs,initial_sl,array_base_price,balance_at_creation,balance_at_exit,commission_total,planned_risk_pct,actual_risk_r,hasPartialCloses,hasMultipleTakeProfits,rulesFollowed,trading_session_id,sourceSessionName,bar_high_r,bar_low_r,bar_close_r,post_exit_bar_high_r,post_exit_bar_low_r,post_exit_bar_close_r
-21.47,2024-05-05T13:55:00.000Z,2024-05-05T07:36:00.000Z,22001,USDJPY,LONG,London Open Liquidity Scalp,-0.5221,0.35,41.12,-0.8794,0.4004,152.006,152.169,152.169,151.991,2.0,152.118,151.991,151.991,152.373,3.0,0.9,9.2,SL,379,closed,41.12,0.52,152.169,152.006,0.478,1.3039,0.2515,0.1758,true,true,Monday,7,13,May,2024,6.3167,22740000,151.991,152.118,10000.0,9978.53,6.0,0.4112,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.1912, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.4004, 0.5221]","[0.0285, 0.2276, 0.2276, 0.2276, 0.2276, 0.2659, 0.2963, 0.3412, 0.3412, 0.3412, 0.3412, 0.3412, 0.3847, 0.3847, 0.3847, 0.4164, 0.4164, 0.4164, 0.4164, 0.4164, 0.4164, 0.4164, 0.4778, 0.5251, 0.5251, 0.5251, 0.537, 0.5548, 0.5548, 0.5548, 0.5548, 0.5748, 0.5748, 0.5748, 0.5766, 0.5766, 0.5766, 0.6891, 0.6891, 0.6891, 0.6891, 0.7412, 0.7412, 0.7412, 0.7471, 0.7827, 0.7827, 0.7837, 0.7837, 0.7837, 0.7837, 0.7837, 0.7837, 0.8558, 0.8558, 0.8558, 0.8558, 0.8558, 0.8558, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794, 0.8794]","[-0.0372, -0.0223, -0.0492, -0.009, -0.0213, -0.0391, -0.0433, -0.0465, -0.057, -0.098, -0.0504, -0.0463, -0.0488, -0.1395, -0.1315, -0.1041, -0.0923, -0.1425, -0.104, -0.136, -0.1392, -0.1597, -0.1867, -0.1858, -0.1733, -0.188, -0.1852, -0.2102, -0.2072, -0.1906, -0.2211, -0.247, -0.1886, -0.219, -0.2185, -0.2941, -0.2981, -0.2622, -0.3136, -0.2337, -0.3254, -0.3006, -0.2681, -0.2815, -0.2916, -0.2924, -0.3169, -0.3427, -0.3239, -0.3164, -0.3462, -0.3332, -0.3616, -0.3979, -0.3587, -0.3741, -0.3719, -0.4015, -0.4355, -0.413, -0.3879, -0.4054, -0.433, -0.4784, -0.413, -0.5004, -0.4488, -0.4344, -0.4477, -0.5287, -0.5167, -0.5243, -0.4728, -0.5283, -0.5221]","[0.4605, 0.4605, 0.4605, 0.4605, 0.4605, 0.4371, 0.4211, 0.3943, 0.4605, 0.4605, 0.4605, 0.4605, 0.4413, 0.4605, 0.4605, 0.4135, 0.4046, 0.4099, 0.4605, 0.4272, 0.4185, 0.4605, 0.4605, 0.4605, 0.4605]","[0.0095, 0.0862, 0.1085, 0.1185, 0.1387, 0.1806, 0.2403, 0.2415, 0.2511, 0.3302, 0.3822, 0.4522, 0.5223, 0.5695, 0.5942, 0.6063, 0.6642, 0.6828, 0.7087, 0.7818, 0.8399, 0.8853, 0.9532, 1.002, 1.0369]","[-0.342, -0.2898, -0.3556, -0.2877, -0.5111, -0.2305, -0.6482, -0.6373, -0.5405, -0.4333, -0.3397, -0.3056, -0.3091, -0.4772, -0.3488, -0.6125, -0.3557, -0.5724, -0.467, -0.2732, -0.4745, -0.4983, -0.7013, -0.2923, -0.2778]"
-1.02,2025-08-16T14:18:00.000Z,2025-08-16T08:47:00.000Z,22002,NQ,LONG,London Open Liquidity Scalp,-0.02,0.59,50.9,-0.117,1.618,18037.51786,18045.04064,18045.04064,18037.51786,2.0,18038.02516,18038.02516,18033.68927,18046.69695,4.5,0.75,5.0,BE,331,closed,50.9,0.02,18045.04064,18037.51786,1.6347,0.0124,1.598,0.2288,true,true,Monday,8,14,August,2025,5.5167,19860000,18033.68927,18038.02516,9978.53,9977.51,9.0,0.5101,1.0,false,false,false,8801,London Open Liquidity Scalp — QA 200,"[0.0785, 0.2906, 0.48, 0.6847, 0.6847, 0.6847, 0.825, 0.825, 0.8438, 0.9243, 0.9248, 1.2433, 1.2433, 1.2433, 1.342, 1.3445, 1.472, 1.618, 1.618, 1.618, 1.618, 1.618]","[0.0303, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117, 0.117]","[-0.0317, 0.0192, -0.0194, -0.0045, 0.0363, -0.0462, 0.0365, 0.0299, -0.0463, -0.0124, -0.0361, -0.0254, -0.0392, -0.0136, 0.031, -0.0183, -0.0024, 0.027, -0.0431, -0.0367, -0.0175, -0.02]","[0.1279, 0.2257, 0.2172, 0.2874, 0.2994, 0.2612, 0.224, 0.1804, 0.2566, 0.2757, 0.2396, 0.2222, 0.3154, 0.2745, 0.3006, 0.2861, 0.3142, 0.3167, 0.4222, 0.3768, 0.4203, 0.4388, 0.5167, 0.5229, 0.5089]","[0.0752, 0.1242, 0.1624, 0.1914, 0.2258, 0.3006, 0.3685, 0.4149, 0.4735, 0.495, 0.5372, 0.562, 0.6281, 0.6367, 0.7053, 0.7518, 0.7773, 0.7924, 0.8145, 0.8925, 0.9519, 0.9549, 0.9777, 1.0334, 1.0701]","[0.1594, 0.2384, 0.0857, -0.1747, -0.191, 0.0004, -0.2149, 0.1509, -0.1527, 0.1079, 0.07, -0.0237, 0.1816, 0.2179, 0.048, -0.1036, -0.0159, -0.1098, -0.0462, -0.2064, -0.184, -0.1706, -0.1115, -0.0223, -0.0386]"
-51.94,2025-02-01T21:58:00.000Z,2025-02-01T15:02:00.000Z,22003,EURUSD,LONG,London Open Liquidity Scalp,-0.949,0.22,54.73,-1.0827,1.9137,1.08311,1.09048,1.09048,1.08311,2.0,1.08577,1.08343,1.08331,1.09069,3.0,0.8,10.0,STOP_OUT,416,closed,54.73,0.95,1.09048,1.08311,2.2409,0.4959,0.4044,0.0345,false,false,Monday,15,21,February,2025,6.9333,24960000,1.08331,1.08577,9977.51,9925.57,6.0,0.5485,1.0,false,false,false,8801,London Open Liquidity Scalp — QA 200,"[0.3017, 0.4435, 0.4435, 0.4435, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.6371, 0.6371, 0.6371, 0.6371, 0.6371, 0.6371, 0.6371, 0.6371, 0.7804, 0.7804, 0.7804, 0.7804, 0.7804, 0.7804, 0.8134, 0.8134, 0.9329, 0.9329, 0.9329, 1.0348, 1.0348, 1.0348, 1.0348, 1.0348, 1.1971, 1.1971, 1.1971, 1.1971, 1.1971, 1.2728, 1.2728, 1.3203, 1.3203, 1.3203, 1.3203, 1.3203, 1.3203, 1.5219, 1.5219, 1.5219, 1.5219, 1.5219, 1.5219, 1.5219, 1.5406, 1.7066, 1.7066, 1.7066, 1.7408, 1.7408, 1.7408, 1.7408, 1.7408, 1.7408, 1.8831, 1.8831, 1.8999, 1.8999, 1.8999, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137, 1.9137]","[0.1996, 0.1996, 0.1996, 0.226, 0.226, 0.226, 0.226, 0.3231, 0.3365, 0.3365, 0.3365, 0.3365, 0.3763, 0.3993, 0.3993, 0.3993, 0.3993, 0.3993, 0.4219, 0.5137, 0.5137, 0.5137, 0.5137, 0.5137, 0.5502, 0.5653, 0.5653, 0.5653, 0.6007, 0.6432, 0.6432, 0.6432, 0.664, 0.664, 0.664, 0.664, 0.664, 0.717, 0.717, 0.7533, 0.7533, 0.7533, 0.7533, 0.7533, 0.7533, 0.8109, 0.8109, 0.8109, 0.8954, 0.9248, 0.9248, 0.9384, 0.9384, 0.9384, 0.9384, 0.9384, 0.9384, 1.0143, 1.0143, 1.0143, 1.0143, 1.0395, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827, 1.0827]","[0.0215, -0.0606, -0.0127, -0.03, -0.0584, -0.0789, -0.1118, -0.1098, -0.134, -0.0784, -0.1113, -0.1831, -0.1833, -0.1309, -0.1375, -0.2101, -0.1725, -0.2008, -0.2084, -0.275, -0.2365, -0.2794, -0.2494, -0.2593, -0.2747, -0.2883, -0.3254, -0.3352, -0.3137, -0.3306, -0.3431, -0.3421, -0.4187, -0.3597, -0.3727, -0.4681, -0.4657, -0.4866, -0.4606, -0.4722, -0.4493, -0.5308, -0.5544, -0.5015, -0.4981, -0.5647, -0.529, -0.5617, -0.5873, -0.5944, -0.5909, -0.5974, -0.6385, -0.6566, -0.64, -0.696, -0.6428, -0.6466, -0.6663, -0.684, -0.7412, -0.7716, -0.7728, -0.785, -0.7958, -0.8014, -0.8354, -0.8369, -0.7786, -0.8079, -0.8331, -0.8155, -0.8551, -0.8887, -0.8774, -0.9449, -0.9478, -0.9625, -0.9009, -0.949]","[0.9861, 1.0724, 1.054, 1.0975, 1.2022, 1.2988, 1.3908, 1.3901, 1.4255]","[0.0744, 0.1037, 0.1491, 0.187, 0.2491, 0.3161, 0.3875, 0.4319, 0.4585]","[-0.7643, -0.7115, -1.1088, -1.0852, -0.9089, -0.7091, -0.9948, -1.1103, -1.0191]"
37.99,2025-08-14T11:14:00.000Z,2025-08-14T10:32:00.000Z,22004,XAUUSD,LONG,London Open Liquidity Scalp,0.8044,1.85,47.23,-0.6918,2.0735,2041.964,2042.672,2042.672,2041.964,2.0,2042.141,2042.653,2041.885,2042.653,4.0,2.5,1.0,TP,42,closed,47.23,0.8,2042.672,2041.964,2.3095,0.3879,1.2691,0.316,false,false,Thursday,10,11,August,2025,0.7,2520000,2041.885,2042.141,9925.57,9963.56,8.0,0.4758,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.6478, 0.6478, 1.0638, 1.1098, 1.5587, 1.734, 2.0735, 2.0735]","[0.1299, 0.1777, 0.4935, 0.4935, 0.6235, 0.6762, 0.6798, 0.6918]","[0.0633, 0.2401, 0.31, 0.437, 0.4591, 0.6178, 0.7193, 0.8044]","[0.9217, 0.9646, 0.9853, 0.9454, 0.9131, 1.0047, 0.9707, 0.9667, 0.9358, 0.9833, 0.9459, 0.8972, 0.9253, 0.9184, 0.9714, 0.9566, 0.9547]","[0.0672, 0.1012, 0.1091, 0.1174, 0.1788, 0.2312, 0.2761, 0.3215, 0.3443, 0.3588, 0.3894, 0.4376, 0.4578, 0.5314, 0.5782, 0.6096, 0.6853]","[0.8993, 0.9161, 0.9144, 0.777, 0.8699, 0.9004, 0.8305, 1.0178, 0.935, 0.643, 1.1036, 1.0095, 0.6795, 0.9189, 0.719, 0.7203, 0.9293]"
-46.79,2024-03-25T13:37:00.000Z,2024-03-25T07:13:00.000Z,22005,GBPUSD,LONG,London Open Liquidity Scalp,-0.9114,0.25,51.34,-0.6835,1.1784,1.26587,1.26973,1.26973,1.2654,3.0,1.26729,1.2654,1.26522,1.2735,3.5,1.2,10.0,MANUAL,384,closed,51.34,0.91,1.26973,1.26587,1.4456,0.7734,0.3094,0.0738,false,false,Monday,7,13,March,2024,6.4,23040000,1.26522,1.26729,9963.56,9916.77,7.0,0.5153,1.0,true,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.2221, 0.404, 0.404, 0.404, 0.404, 0.5149, 0.5825, 0.7585, 0.7585, 0.8491, 0.8491, 0.8491, 0.9965, 0.9965, 1.0596, 1.0596, 1.1394, 1.1408, 1.1408, 1.1432, 1.1432, 1.1709, 1.1784, 1.1784, 1.1784]","[0.073, 0.2461, 0.2515, 0.2515, 0.2515, 0.2515, 0.2515, 0.3392, 0.3392, 0.3966, 0.4612, 0.4612, 0.5667, 0.5667, 0.6425, 0.6425, 0.6425, 0.6727, 0.6727, 0.6835, 0.6835, 0.6835, 0.6835, 0.6835, 0.6835]","[-0.0104, -0.0705, -0.1507, -0.1714, -0.2096, -0.2388, -0.2405, -0.3025, -0.3467, -0.3871, -0.3808, -0.4395, -0.464, -0.5462, -0.5601, -0.5391, -0.5933, -0.6178, -0.6845, -0.7367, -0.7519, -0.8085, -0.8342, -0.8893, -0.9114]","[0.9337, 0.9945, 0.985, 1.0198, 1.0903, 1.2103, 1.2203, 1.2007, 1.2996, 1.3552, 1.3552, 1.3552, 1.3552, 1.3402, 1.2954, 1.3552, 1.3552, 1.3552, 1.3552, 1.3552, 1.3552, 1.3375]","[0.0217, 0.0615, 0.0899, 0.139, 0.1401, 0.1774, 0.2094, 0.266, 0.3025, 0.3077, 0.3476, 0.4031, 0.4536, 0.4732, 0.4942, 0.5677, 0.6273, 0.6906, 0.7646, 0.8356, 0.8384, 0.8413]","[-0.7003, -0.9976, -0.6478, -0.6861, -0.7918, -1.0079, -0.6935, -0.8257, -0.8414, -0.6539, -1.0832, -0.7135, -0.6481, -0.9596, -0.7269, -0.9097, -1.0675, -0.6446, -0.7354, -1.0755, -0.9821, -0.7726]"
67.41,2025-10-23T16:38:00.000Z,2025-10-23T14:21:00.000Z,22006,XAUUSD,SHORT,London Open Liquidity Scalp,1.286,2.14,52.42,-0.8327,1.8143,2012.519,2011.87,2012.519,2011.87,3.0,2012.315,2012.0,2012.56,2011.579,4.0,2.5,1.0,Trailing SL,137,closed,52.42,1.29,2011.87,2012.519,1.8903,0.7088,0.5283,0.0302,false,true,Thursday,14,16,October,2025,2.2833,8220000,2012.56,2012.315,9916.77,9984.18,8.0,0.5286,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.1952, 0.3993, 0.3993, 0.4631, 0.4631, 0.4631, 0.5145, 0.6948, 0.8377, 0.9043, 1.1177, 1.1738, 1.1738, 1.1939, 1.1939, 1.1939, 1.1939, 1.2738, 1.572, 1.572, 1.572, 1.7726, 1.7726, 1.8143, 1.8143, 1.8143, 1.8143]","[0.2519, 0.3115, 0.3115, 0.3115, 0.3379, 0.3379, 0.3379, 0.377, 0.4447, 0.4804, 0.4804, 0.5308, 0.5308, 0.578, 0.578, 0.578, 0.7068, 0.8004, 0.8004, 0.8004, 0.8004, 0.8004, 0.8004, 0.8327, 0.8327, 0.8327, 0.8327]","[0.089, 0.1339, 0.1698, 0.1705, 0.2105, 0.3196, 0.3284, 0.3692, 0.4642, 0.502, 0.5124, 0.56, 0.609, 0.624, 0.6813, 0.7273, 0.8471, 0.8422, 0.9314, 0.9681, 0.9963, 1.0544, 1.0991, 1.1299, 1.1513, 1.1966, 1.286]","[1.352, 1.3933, 1.4987, 1.5709, 1.5572, 1.6176, 1.7026, 1.7763, 1.7854, 1.7848, 1.8569, 1.925, 2.0106, 2.0282, 2.0702, 2.0864, 2.0864, 2.0864, 2.0864, 2.0594]","[0.0043, 0.0567, 0.0951, 0.1039, 0.1622, 0.2403, 0.2433, 0.2706, 0.3288, 0.3853, 0.4635, 0.519, 0.5819, 0.5888, 0.6438, 0.6713, 0.7243, 0.73, 0.7439, 0.8167]","[1.3564, 1.5292, 1.4643, 1.3317, 1.5069, 1.275, 1.5135, 1.326, 1.1951, 1.4516, 1.3354, 1.3908, 1.3747, 1.2087, 1.1936, 1.3937, 1.5078, 1.1342, 1.2621, 1.1845]"
88.15,2025-08-28T13:33:00.000Z,2025-08-28T07:19:00.000Z,22007,USDJPY,LONG,London Open Liquidity Scalp,1.6351,0.23,53.91,-0.8087,3.2899,148.293,149.32,149.32,148.293,2.0,148.496,148.997,148.246,148.997,3.0,0.9,9.2,TP,374,closed,53.91,1.64,149.32,148.293,3.4963,0.497,1.6548,0.2786,false,false,Thursday,7,13,August,2025,6.2333,22440000,148.246,148.496,9984.18,10072.33,6.0,0.54,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.4206, 0.5289, 0.5289, 0.8044, 1.01, 1.01, 1.01, 1.4532, 1.517, 1.521, 1.5519, 1.7767, 1.9614, 2.1692, 2.1692, 2.343, 2.5731, 2.6296, 2.6296, 3.0357, 3.0527, 3.0795, 3.2899, 3.2899]","[0.1486, 0.3147, 0.3147, 0.3147, 0.3162, 0.3802, 0.4396, 0.4636, 0.4636, 0.4636, 0.4636, 0.4877, 0.4877, 0.5469, 0.6299, 0.666, 0.666, 0.8087, 0.8087, 0.8087, 0.8087, 0.8087, 0.8087, 0.8087]","[0.0989, 0.092, 0.2389, 0.3015, 0.3834, 0.4144, 0.4493, 0.5551, 0.6348, 0.6603, 0.7525, 0.8166, 0.8679, 0.9795, 1.033, 1.1158, 1.1399, 1.2157, 1.3191, 1.3956, 1.4298, 1.489, 1.5714, 1.6351]","[1.6363, 1.6178, 1.6815, 1.7282, 1.7823, 1.8123, 1.7989, 1.8446, 1.9307, 2.0178, 2.0458, 2.0266, 1.9894, 2.0471]","[0.0357, 0.1065, 0.1129, 0.1429, 0.1859, 0.196, 0.2576, 0.3014, 0.3331, 0.4116, 0.4398, 0.4903, 0.5424, 0.5965]","[1.6907, 1.568, 1.7102, 1.7587, 1.6306, 1.831, 1.5255, 1.6864, 1.4687, 1.8618, 1.6086, 1.8844, 1.4714, 1.7227]"
53.18,2025-05-05T19:59:00.000Z,2025-05-05T13:53:00.000Z,22008,EURUSD,SHORT,London Open Liquidity Scalp,1.2376,0.32,42.97,-0.6126,1.8961,1.0951,1.09178,1.0951,1.09178,1.5,1.09429,1.0923,1.09561,1.0923,3.0,0.8,10.0,TP,366,closed,42.97,1.24,1.09178,1.0951,2.1023,0.6527,0.6585,0.1263,false,true,Monday,13,19,May,2025,6.1,21960000,1.09561,1.09429,10072.33,10125.51,6.0,0.4266,1.0,true,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.0438, 0.1845, 0.3499, 0.3499, 0.3499, 0.5073, 0.5073, 0.5073, 0.5073, 0.6257, 0.6257, 0.6257, 0.6257, 0.6257, 0.6257, 0.7838, 0.7838, 0.7838, 0.7838, 0.7838, 0.7838, 0.7838, 0.8391, 0.8391, 0.8567, 0.8873, 0.8973, 1.0167, 1.0167, 1.0167, 1.1312, 1.1312, 1.1312, 1.1376, 1.1376, 1.31, 1.31, 1.31, 1.3342, 1.3342, 1.4464, 1.4464, 1.4464, 1.4464, 1.4665, 1.4665, 1.4665, 1.4665, 1.4665, 1.4665, 1.6419, 1.6419, 1.6904, 1.7978, 1.7978, 1.7978, 1.7978, 1.7978, 1.7978, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961, 1.8961]","[0.0295, 0.1568, 0.2493, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.279, 0.3543, 0.3543, 0.3636, 0.3636, 0.3636, 0.3636, 0.4475, 0.4475, 0.4475, 0.4625, 0.469, 0.469, 0.469, 0.469, 0.469, 0.469, 0.5293, 0.5293, 0.5293, 0.5293, 0.5293, 0.5293, 0.5293, 0.5293, 0.5293, 0.5669, 0.5669, 0.5669, 0.5669, 0.5669, 0.6054, 0.6054, 0.6054, 0.6054, 0.6054, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126, 0.6126]","[-0.0197, 0.0162, 0.0618, 0.0557, 0.0411, 0.1345, 0.0976, 0.1438, 0.1439, 0.1862, 0.1616, 0.1801, 0.2326, 0.2574, 0.2386, 0.3015, 0.3013, 0.2741, 0.305, 0.3218, 0.3355, 0.4161, 0.3468, 0.3699, 0.3929, 0.4692, 0.4971, 0.444, 0.4499, 0.5282, 0.5083, 0.558, 0.5489, 0.5379, 0.6003, 0.5857, 0.5908, 0.6844, 0.6591, 0.6533, 0.6688, 0.6967, 0.7607, 0.7199, 0.7359, 0.821, 0.8331, 0.8229, 0.8362, 0.8195, 0.8221, 0.899, 0.9161, 0.9101, 0.9658, 0.9352, 0.9793, 0.9462, 1.0055, 0.9856, 1.0372, 1.0158, 1.0412, 1.0565, 1.1152, 1.1298, 1.1127, 1.1231, 1.1978, 1.2076, 1.16, 1.247, 1.2376]","[1.2768, 1.2558, 1.3373, 1.3493, 1.3992, 1.3705]","[0.0347, 0.1049, 0.1452, 0.2163, 0.2957, 0.2991]","[1.3246, 1.3466, 1.3955, 1.3091, 1.4065, 1.2296]"
91.36,2024-09-01T16:00:00.000Z,2024-09-01T09:27:00.000Z,22009,EURUSD,LONG,London Open Liquidity Scalp,1.7134,0.2,53.32,-0.4527,3.4411,1.0813,1.09168,1.09168,1.0813,2.5,1.08251,1.08708,1.07984,1.08918,3.0,0.8,10.0,Trailing SL,393,closed,53.32,1.71,1.09168,1.0813,3.4728,0.4979,1.7277,0.1163,false,true,Monday,9,16,September,2024,6.55,23580000,1.07984,1.08251,10125.51,10216.87,6.0,0.5266,1.0,false,true,false,8801,London Open Liquidity Scalp — QA 200,"[0.101, 0.266, 0.266, 0.358, 0.358, 0.4898, 0.4898, 0.5711, 0.5711, 0.5711, 0.6867, 0.8499, 0.8499, 0.8499, 0.8938, 1.0531, 1.0531, 1.0716, 1.0716, 1.2203, 1.2203, 1.2746, 1.3687, 1.3687, 1.4276, 1.4276, 1.4579, 1.4579, 1.465, 1.465, 1.6595, 1.6595, 1.688, 1.688, 1.688, 1.8305, 1.8305, 1.872, 1.872, 1.872, 1.872, 1.9215, 2.2465, 2.2519, 2.2519, 2.2519, 2.3776, 2.3776, 2.3776, 2.3776, 2.468, 2.4999, 2.4999, 2.4999, 2.4999, 2.6014, 2.6014, 2.8902, 2.8902, 2.8902, 2.8902, 2.8902, 2.8902, 3.0906, 3.0906, 3.0906, 3.0906, 3.3226, 3.3226, 3.3226, 3.3226, 3.3226, 3.3226, 3.4411, 3.4411, 3.4411, 3.4411, 3.4411, 3.4411, 3.4411]","[0.1708, 0.2158, 0.2158, 0.2158, 0.2331, 0.2331, 0.2331, 0.2331, 0.2331, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.2791, 0.3622, 0.3622, 0.3622, 0.3622, 0.3622, 0.3622, 0.3714, 0.3714, 0.3714, 0.3714, 0.3714, 0.3714, 0.4167, 0.4167, 0.4167, 0.4167, 0.4167, 0.4167, 0.4167, 0.4167, 0.4167, 0.4247, 0.4247, 0.4247, 0.4247, 0.4247, 0.4247, 0.4247, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527, 0.4527]","[0.0602, 0.0043, 0.1041, 0.1214, 0.0966, 0.1303, 0.1145, 0.1736, 0.2021, 0.2072, 0.2367, 0.2409, 0.264, 0.3355, 0.3153, 0.3228, 0.376, 0.3545, 0.4421, 0.4225, 0.4101, 0.4375, 0.5301, 0.4895, 0.5623, 0.5198, 0.5876, 0.6258, 0.6494, 0.6768, 0.6508, 0.6739, 0.708, 0.7074, 0.7728, 0.7508, 0.83, 0.8049, 0.8325, 0.8265, 0.8509, 0.8641, 0.9217, 0.9014, 0.9422, 0.9975, 0.9687, 1.0178, 1.0408, 1.1153, 1.1351, 1.097, 1.109, 1.1698, 1.1702, 1.2336, 1.248, 1.2329, 1.2564, 1.3106, 1.3186, 1.324, 1.3823, 1.3642, 1.4054, 1.438, 1.3946, 1.4563, 1.4615, 1.4832, 1.4934, 1.5651, 1.5354, 1.5825, 1.6483, 1.6107, 1.6309, 1.6366, 1.6962, 1.7134]","[1.6695, 1.7141, 1.8067, 1.9142, 1.9676, 2.0298, 2.0603, 2.0284, 2.1213, 2.1843, 2.2976, 2.3506, 2.3322, 2.3418]","[0.0473, 0.0656, 0.1218, 0.1903, 0.2153, 0.261, 0.2876, 0.34, 0.3562, 0.3629, 0.4276, 0.4928, 0.5372, 0.5486]","[1.7184, 1.8323, 1.9023, 1.9115, 1.9751, 1.7646, 1.9581, 1.5455, 1.6554, 1.7976, 1.7595, 1.7496, 1.89, 1.701]"
2.15,2024-08-28T11:29:00.000Z,2024-08-28T10:41:00.000Z,22010,XAUUSD,LONG,London Open Liquidity Scalp,0.0418,1.89,51.46,-0.1355,0.8877,2039.492,2039.771,2039.771,2039.492,3.0,2039.529,2039.529,2039.256,2040.347,4.0,2.5,1.0,BE,48,closed,51.46,0.04,2039.771,2039.492,1.0402,0.0471,0.8459,0.3431,false,false,Wednesday,10,11,August,2024,0.8,2880000,2039.256,2039.529,10216.87,10219.02,8.0,0.5037,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.1341, 0.3427, 0.4008, 0.7272, 0.7272, 0.7272, 0.7272, 0.8877, 0.8877]","[0.1355, 0.1355, 0.1355, 0.1355, 0.1355, 0.1355, 0.1355, 0.1355, 0.1355]","[0.0055, -0.0199, 0.0093, 0.052, 0.0575, 0.0572, 0.0116, 0.0556, 0.0418]","[0.0851, 0.1327, 0.1657, 0.2381, 0.3503, 0.3932, 0.375, 0.404, 0.4802, 0.4721, 0.4703, 0.5427, 0.5471, 0.5166]","[0.0129, 0.03, 0.0779, 0.1133, 0.1859, 0.1995, 0.277, 0.2907, 0.355, 0.3703, 0.3732, 0.4105, 0.4877, 0.501]","[-0.0382, 0.209, 0.3403, 0.0562, -0.113, 0.2215, -0.0383, 0.311, -0.0505, 0.1324, 0.2601, 0.0059, -0.0519, 0.3283]"
