journal_trade_id,trade_id,client_trade_id,tradeId,id,n,sourceSessionName,setup,symbol,ticker,direction,side,type,orderType,quantity,status,entryTime,openTime,entryDate,date,exitTime,closeTime,exitDate,entryPrice,openPrice,exitPrice,closePrice,stopLoss,takeProfit,pnl,pnl_dollars_net,realizedPnL,rMultiple,actual_rr_net,actualRR,rewardToRiskRatio,riskAmount,riskPerTrade,plannedRR,duration,closeType,mfe,mae,mfe_r,mae_r,total_mfe_r,highestPrice,lowestPrice,commission_total,commission_at_entry,spread_pips_at_entry,postTradeNotes,preTags,postTags,tags,strategy_variables,post_strategy_variables,partialCloses,entryScreenshot,exitScreenshot,railScreenshots,sourceSessionId,trading_session_id,savedAt,active_sl_at_exit,active_tps_at_exit,actual_risk_r,actual_rr_gross,array_base_price,balance_at_creation,balance_at_exit,bar_close_r,bar_high_r,bar_low_r,capture_ratio,chart_trade_id,dayOfWeek,entries_locked,entryMarkerTimeMs,entry_offset_r,exit_confirmed,exit_timing_gap,finalClosePnL,final_exit_bar,hasMultipleTakeProfits,hasPartialCloses,holdingTimeDays,holdingTimeHours,holdingTimeMs,hourOfEntry,hourOfExit,initial_sl,initial_takeProfit,isScaledTrade,isSplitEntry,maeTime,management_gap,market,mfeTime,month,multiTpSnapshot,netPnL,originalRiskAmount,partialClosePnL,pip_value_at_entry,plannedEntrySnapshot,plannedRRAtEntry,plannedTpSnapshot,planned_risk_pct,pnl_dollars_gross,post_checkpoints,post_exit_anchor_time,post_exit_bar_close_r,post_exit_bar_high_r,post_exit_bar_low_r,preTradeNotes,rulesFollowed,session,sl_modifications,sourceFileId,sourceFilterKey,sourceKey,sourceLabel,sourceType,splitGroupId,splitIndex,splitTotal,tag,total_bars_held,trail_sl_path,v9PostTradeTags,v9TradeNotes,would_have_won,year,accountType,planAdherence,demons,originSource,session_mode,category_sheet
30030001,30030001,1,30030001,30030001,1,Binance Spot Journal,General,NAS100,NAS100,BUY,Long,BUY,market,4.43,closed,1644048000000,1644048000000,2022-02-05T08:00:00.000Z,2022-02-05,1644061140000,2022-02-05T11:39:00.000Z,2022-02-05T11:39:00.000Z,17300.63,17300.63,17294.85,17294.85,17279.62,17332.14,-25.62,-25.62,-25.62,-0.2753,0.2753,0.2753,1.5,93.09,93.09,1.5,219,Manual,17321.71,17299.55,1.0034,0.0514,1.0034,17302.14,17292.53,2.53,2.53,1.5,"{""tags"": ""Loss"", ""scenario"": ""win_manual""}","[""General""]","[""Loss""]",[],,,[],,,[],3003,3003,1781955390364,17279.62,"[{""price"": 17332.14, ""percentage"": 100, ""hit"": false}]",1,0.2753,17300.63,8000.0,7974.38,[],[],[],0.2743,1,Saturday,False,1644048000000,0,True,0.7281,-25.62,313,False,False,0.1521,3.65,13140000,8,11,17279.62,17332.14,False,False,1644060909449,0.9807,Indices,1644049038853,February,,-25.62,93.09,0,1.0,,1.5,,1.1636,-25.62,[],1644061140000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,General,253,[],"[""Loss""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030002,30030002,2,30030002,30030002,2,Binance Spot Journal,News Fade,NAS100,NAS100,SELL,Short,SELL,market,5.35,closed,1644072900000,1644072900000,2022-02-05T14:55:00.000Z,2022-02-05,1644096600000,2022-02-05T21:30:00.000Z,2022-02-05T21:30:00.000Z,16879.43,16879.43,16851.51,16851.51,16898.97,16850.12,149.52,149.52,149.52,1.4289,1.4289,1.4289,1.5,104.64,104.64,1.5,395,Partial,16837.04,16880.83,2.1692,0.0715,2.1692,16881.16,16849.2,2.42,0.55,1.5,"{""tags"": ""Win"", ""scenario"": ""win_manual""}","[""News Fade""]","[""Win""]",[],,,[],,,[],3003,3003,1781955390365,16898.97,"[{""price"": 16850.12, ""percentage"": 100, ""hit"": false}]",1,1.4289,16879.43,7974.38,8123.9,[],[],[],0.6587,2,Saturday,False,1644072900000,0,True,0.7403,149.52,336,False,False,0.2743,6.5833,23700000,14,21,16898.97,16850.12,False,False,1644096432379,0.2859,Indices,1644083169021,February,,149.52,104.64,0,1.0,,1.5,,1.3122,149.52,[],1644096600000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,News Fade,93,[],"[""Win""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030003,30030003,3,30030003,30030003,3,Binance Spot Journal,Range Fade,NAS100,NAS100,SELL,Short,SELL,market,2.49,closed,1644110460000,1644110460000,2022-02-06T01:21:00.000Z,2022-02-06,1644131580000,2022-02-06T07:13:00.000Z,2022-02-06T07:13:00.000Z,16637.62,16637.62,16617.77,16617.77,16657.34,16578.45,49.49,49.49,49.49,1.0065,1.0065,1.0065,3.0,49.17,49.17,3.0,352,Trailing SL,16619.64,16647.2,0.9115,0.4859,0.9115,16639.58,16615.63,0.44,0.43,1.5,"{""tags"": ""Win"", ""scenario"": ""win_manual""}","[""Range Fade""]","[""Win""]",[],,,[],,,[],3003,3003,1781955390365,16657.34,"[{""price"": 16578.45, ""percentage"": 100, ""hit"": false}]",1,1.0065,16637.62,8123.9,8173.39,[],[],[],1.1042,3,Sunday,False,1644110460000,0,True,-0.095,49.49,344,False,False,0.2444,5.8667,21120000,1,7,16657.34,16578.45,False,False,1644131268244,1.4808,Indices,1644115930493,February,,49.49,49.17,0,1.0,,3.0,,0.6052,49.49,[],1644131580000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Range Fade,153,[],"[""Win""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030004,30030004,4,30030004,30030004,4,Binance Spot Journal,General,GBPUSD,GBPUSD,SELL,Short,SELL,market,0.27,closed,1644150600000,1644150600000,2022-02-06T12:30:00.000Z,2022-02-06,1644164520000,2022-02-06T16:22:00.000Z,2022-02-06T16:22:00.000Z,1.25974,1.25974,1.25745,1.25745,1.26278,1.25062,62.86,62.86,62.86,0.7531,0.7531,0.7531,3.0,83.47,83.47,3.0,232,Trailing SL,1.25618,1.26095,1.1692,0.3967,1.1692,1.26004,1.25718,1.44,2.09,1.2,"{""tags"": ""Win"", ""scenario"": ""survived_drawdown""}","[""General""]","[""Win""]",[],,,"[{""pct"": 50, ""pnl"": 31.43}]",,,[],3003,3003,1781955390365,1.26278,"[{""price"": 1.25062, ""percentage"": 100, ""hit"": false}]",1,0.7531,1.25974,8173.39,8236.25,[],[],[],0.6441,4,Sunday,False,1644150600000,0,True,0.4162,62.86,133,False,True,0.1611,3.8667,13920000,12,16,1.26278,1.25062,False,False,1644163947124,1.2791,Forex,1644151010583,February,,62.86,83.47,31.43,10,,3.0,,1.0212,62.86,[],1644164520000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,General,277,[],"[""Win""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030005,30030005,5,30030005,30030005,5,Binance Spot Journal,Pullback,BTCUSD,BTCUSD,SELL,Short,SELL,market,1.9,closed,1644178800000,1644178800000,2022-02-06T20:20:00.000Z,2022-02-06,1644179820000,2022-02-06T20:37:00.000Z,2022-02-06T20:37:00.000Z,51357.08,51357.08,51376.75,51376.75,51389.19,51292.87,-37.29,-37.29,-37.29,-0.6126,0.6126,0.6126,2.0,60.87,60.87,2.0,17,Partial,51330.32,51375.05,0.8335,0.5597,0.8335,51377.71,51354.94,1.81,0.21,12.0,"{""tags"": ""Loss"", ""scenario"": ""out_of_plan""}","[""Pullback""]","[""Loss""]",[],,,[],,,[],3003,3003,1781955390365,51389.19,"[{""price"": 51292.87, ""percentage"": 100, ""hit"": false}]",1,0.6126,51357.08,8236.25,8198.96,[],[],[],0.735,5,Sunday,False,1644178800000,0,True,0.2209,-37.29,63,False,False,0.0118,0.2833,1020000,20,20,51389.19,51292.87,False,False,1644179584374,0.9581,Crypto,1644178848995,February,,-37.29,60.87,0,1.0,,2.0,,0.739,-37.29,[],1644179820000,[],[],[],{},False,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Pullback,269,[],"[""Loss""]",,False,2022,private,out-of-plan,"[""fomo""]",live_journal,live_journal,Journal
30030006,30030006,6,30030006,30030006,6,Binance Spot Journal,VWAP Bounce,EURUSD,EURUSD,BUY,Long,BUY,market,0.52,closed,1644186360000,1644186360000,2022-02-06T22:26:00.000Z,2022-02-06,1644207600000,2022-02-07T04:20:00.000Z,2022-02-07T04:20:00.000Z,1.10755,1.10755,1.10926,1.10926,1.10584,1.10926,34.42,34.42,34.42,0.3849,0.3849,0.3849,1.0,89.45,89.45,1.0,354,TP,1.11207,1.10733,2.6473,0.1316,2.6473,1.10944,1.10751,2.25,2.87,0.8,"{""tags"": ""Win"", ""scenario"": ""win_manual""}","[""VWAP Bounce""]","[""Win""]",[],,,[],,,[],3003,3003,1781955390365,1.10584,"[{""price"": 1.10926, ""percentage"": 100, ""hit"": true}]",1,0.3849,1.10755,8198.96,8233.38,[],[],[],0.1454,6,Sunday,False,1644186360000,0,True,2.2625,34.42,193,False,False,0.2458,5.9,21240000,22,4,1.10584,1.10926,False,False,1644207513660,1.1962,Forex,1644190245571,February,,34.42,89.45,0,10,,1.0,,1.091,34.42,[],1644207600000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,VWAP Bounce,211,[],"[""Win""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030007,30030007,7,30030007,30030007,7,Binance Spot Journal,Pullback,EURUSD,EURUSD,BUY,Long,BUY,market,0.36,closed,1644223440000,1644223440000,2022-02-07T08:44:00.000Z,2022-02-07,1644229260000,2022-02-07T10:21:00.000Z,2022-02-07T10:21:00.000Z,1.10992,1.10992,1.10878,1.10878,1.10761,1.11339,-41.09,-41.09,-41.09,-0.4916,0.4916,0.4916,1.5,83.58,83.58,1.5,97,Gap Exit,1.11144,1.10757,0.6581,1.0152,0.6581,1.10998,1.10865,1.71,0.01,0.8,"{""tags"": ""Loss"", ""scenario"": ""partial_win""}","[""Pullback""]","[""Loss""]",[],,,"[{""pct"": 50, ""pnl"": -20.55}]",,,[],3003,3003,1781955390365,1.10761,"[{""price"": 1.11339, ""percentage"": 100, ""hit"": false}]",1,0.4916,1.10992,8233.38,8192.29,[],[],[],0.747,7,Monday,False,1644223440000,0,True,0.1665,-41.09,95,False,True,0.0674,1.6167,5820000,8,10,1.10761,1.11339,False,False,1644229163335,0.6532,Forex,1644225110186,February,,-41.09,83.58,-20.55,10,,1.5,,1.0151,-41.09,[],1644229260000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Pullback,199,[],"[""Loss""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030008,30030008,8,30030008,30030008,8,Binance Spot Journal,Pullback,GBPUSD,GBPUSD,BUY,Long,BUY,market,0.26,closed,1644236760000,1644236760000,2022-02-07T12:26:00.000Z,2022-02-07,1644593880000,2022-02-11T15:38:00.000Z,2022-02-11T15:38:00.000Z,1.30142,1.30142,1.30022,1.30022,1.29966,1.30318,-30.99,-30.99,-30.99,-0.6815,0.6815,0.6815,1.0,45.48,45.48,1.0,5952,Gap Exit,1.30169,1.29973,0.1511,0.9579,0.1511,1.30155,1.30006,2.02,0.63,1.2,"{""tags"": ""Loss"", ""scenario"": ""multi_day_hold""}","[""Pullback""]","[""Loss""]",[],,,"[{""pct"": 50, ""pnl"": -15.49}]",,,[],3003,3003,1781955390365,1.29966,"[{""price"": 1.30318, ""percentage"": 100, ""hit"": false}]",1,0.6815,1.30142,8192.29,8161.3,[],[],[],4.5096,8,Monday,False,1644236760000,0,True,-0.5303,-30.99,390,False,True,4.1333,99.2,357120000,12,15,1.29966,1.30318,False,False,1644593675747,0.7209,Forex,1644399768371,February,,-30.99,45.48,-15.49,10,,1.0,,0.5552,-30.99,[],1644593880000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Pullback,17,[],"[""Loss""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030009,30030009,9,30030009,30030009,9,Binance Spot Journal,Pullback,EURUSD,EURUSD,SELL,Short,SELL,market,0.23,closed,1644614760000,1644614760000,2022-02-11T21:26:00.000Z,2022-02-11,1644641700000,2022-02-12T04:55:00.000Z,2022-02-12T04:55:00.000Z,1.09158,1.09158,1.09158,1.09158,1.09471,1.08375,0.0,0.0,0.0,0.0,0.0,0.0,2.5,72.99,72.99,2.5,449,BE,1.08975,1.09311,0.5859,0.4889,0.5859,1.09185,1.09143,3.5,1.83,0.8,"{""tags"": ""BE"", ""scenario"": ""breakeven""}","[""Pullback""]","[""BE""]",[],,,[],,,[],3003,3003,1781955390365,1.09471,"[{""price"": 1.08375, ""percentage"": 100, ""hit"": false}]",1,0.0,1.09158,8161.3,8161.3,[],[],[],0.0,9,Friday,False,1644614760000,0,True,0.5859,0.0,170,False,False,0.3118,7.4833,26940000,21,4,1.09471,1.08375,False,False,1644641614495,1.2743,Forex,1644628106888,February,,0.0,72.99,0,10,,2.5,,0.8944,0.0,[],1644641700000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Pullback,40,[],"[""BE""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
30030010,30030010,10,30030010,30030010,10,Binance Spot Journal,Breakout,GBPUSD,GBPUSD,BUY,Long,BUY,market,0.51,closed,1644647040000,1644647040000,2022-02-12T06:24:00.000Z,2022-02-12,1644667500000,2022-02-12T12:05:00.000Z,2022-02-12T12:05:00.000Z,1.28663,1.28663,1.2855,1.2855,1.28505,1.28979,-57.83,-57.83,-57.83,-0.7178,0.7178,0.7178,2.0,80.58,80.58,2.0,341,Manual,1.2869,1.28592,0.1728,0.4506,0.1728,1.28671,1.28541,2.64,1.28,1.2,"{""tags"": ""Loss"", ""scenario"": ""scaled_in""}","[""Breakout""]","[""Loss""]",[],,,[],,,[],3003,3003,1781955390365,1.28505,"[{""price"": 1.28979, ""percentage"": 100, ""hit"": false}]",1,0.7178,1.28663,8161.3,8103.47,[],[],[],4.1543,10,Saturday,False,1644647040000,0,True,-0.545,-57.83,30,False,False,0.2368,5.6833,20460000,6,12,1.28505,1.28979,True,False,1644667089238,1.4823,Forex,1644655539796,February,,-57.83,80.58,0,10,,2.0,,0.9873,-57.83,[],1644667500000,[],[],[],{},True,Session,[],3,session:3003,session:3003,Binance Spot Journal,journal,,,,Breakout,120,[],"[""Loss""]",,False,2022,private,according-to-plan,[],live_journal,live_journal,Journal
