journal_trade_id,trade_id,client_trade_id,tradeId,id,n,sourceSessionName,setup,symbol,ticker,direction,side,type,orderType,quantity,status,entryTime,openTime,entryDate,date,exitTime,closeTime,exitDate,entryPrice,openPrice,exitPrice,closePrice,stopLoss,takeProfit,pnl,pnl_dollars_net,realizedPnL,rMultiple,actual_rr_net,actualRR,rewardToRiskRatio,riskAmount,riskPerTrade,plannedRR,duration,closeType,mfe,mae,mfe_r,mae_r,total_mfe_r,highestPrice,lowestPrice,commission_total,commission_at_entry,spread_pips_at_entry,postTradeNotes,preTags,postTags,tags,strategy_variables,post_strategy_variables,partialCloses,entryScreenshot,exitScreenshot,railScreenshots,sourceSessionId,trading_session_id,savedAt,active_sl_at_exit,active_tps_at_exit,actual_risk_r,actual_rr_gross,array_base_price,balance_at_creation,balance_at_exit,bar_close_r,bar_high_r,bar_low_r,capture_ratio,chart_trade_id,dayOfWeek,entries_locked,entryMarkerTimeMs,entry_offset_r,exit_confirmed,exit_timing_gap,finalClosePnL,final_exit_bar,hasMultipleTakeProfits,hasPartialCloses,holdingTimeDays,holdingTimeHours,holdingTimeMs,hourOfEntry,hourOfExit,initial_sl,initial_takeProfit,isScaledTrade,isSplitEntry,maeTime,management_gap,market,mfeTime,month,multiTpSnapshot,netPnL,originalRiskAmount,partialClosePnL,pip_value_at_entry,plannedEntrySnapshot,plannedRRAtEntry,plannedTpSnapshot,planned_risk_pct,pnl_dollars_gross,post_checkpoints,post_exit_anchor_time,post_exit_bar_close_r,post_exit_bar_high_r,post_exit_bar_low_r,preTradeNotes,rulesFollowed,session,sl_modifications,sourceFileId,sourceFilterKey,sourceKey,sourceLabel,sourceType,splitGroupId,splitIndex,splitTotal,tag,total_bars_held,trail_sl_path,v9PostTradeTags,v9TradeNotes,would_have_won,year,accountType,planAdherence,demons,originSource,session_mode,category_sheet
20080001,20080001,1,20080001,20080001,1,2-Step Forex Challenge,General,GBPUSD,GBPUSD,SELL,Short,SELL,market,5.19,closed,1643616000000,1643616000000,2022-01-31T08:00:00.000Z,2022-01-31,1643624220000,2022-01-31T10:17:00.000Z,2022-01-31T10:17:00.000Z,1.2593,1.2593,1.2593,1.2593,1.26125,1.25735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1011.64,1011.64,1.0,137,BE,1.25889,1.26115,0.2108,0.9497,0.2108,1.25949,1.25929,1.4,1.38,1.2,"{""tags"": ""BE"", ""scenario"": ""zero_pnl""}","[""General""]","[""BE""]",[],,,[],,,[],2008,2008,1781955390215,1.26125,"[{""price"": 1.25735, ""percentage"": 100, ""hit"": false}]",1,0.0,1.2593,100000.0,100000.0,[],[],[],0.0,1,Monday,False,1643616000000,0,True,0.2108,0.0,154,False,False,0.0951,2.2833,8220000,8,10,1.26125,1.25735,True,False,1643624017445,0.0698,Forex,1643618850477,January,,0.0,1011.64,0,10,,1.0,,1.0116,0.0,[],1643624220000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,General,200,[],"[""BE""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080002,20080002,2,20080002,20080002,2,2-Step Forex Challenge,Reversal,USDJPY,USDJPY,SELL,Short,SELL,market,9.12,closed,1643631060000,1643631060000,2022-01-31T12:11:00.000Z,2022-01-31,1643640780000,2022-01-31T14:53:00.000Z,2022-01-31T14:53:00.000Z,152.795,152.795,152.925,152.925,152.928,152.396,-1090.02,-1090.02,-1090.02,-0.9759,0.9759,0.9759,3.0,1116.96,1116.96,3.0,162,Partial,152.646,152.868,1.1173,0.5476,1.1173,152.927,152.775,0.35,2.09,0.9,"{""tags"": ""Loss"", ""scenario"": ""loss_sl""}","[""Reversal""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390215,152.928,"[{""price"": 152.396, ""percentage"": 100, ""hit"": false}]",1,0.9759,152.795,100000.0,98909.98,[],[],[],0.8734,2,Monday,False,1643631060000,0,True,0.1414,-1090.02,84,False,False,0.1125,2.7,9720000,12,14,152.928,152.396,False,False,1643640233442,1.1713,Forex,1643633898438,January,,-1090.02,1116.96,0,9.2,,3.0,,1.117,-1090.02,[],1643640780000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Reversal,289,[],"[""Loss""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080003,20080003,3,20080003,20080003,3,2-Step Forex Challenge,VWAP Bounce,GBPUSD,GBPUSD,BUY,Long,BUY,market,8.06,closed,1643646300000,1643646300000,2022-01-31T16:25:00.000Z,2022-01-31,1643664660000,2022-01-31T21:31:00.000Z,2022-01-31T21:31:00.000Z,1.29623,1.29623,1.29552,1.29552,1.29458,1.29953,-572.25,-572.25,-572.25,-0.4294,0.4294,0.4294,2.0,1332.56,1332.56,2.0,306,Time Stop,1.29651,1.29534,0.1699,0.5391,0.1699,1.29629,1.29542,3.5,0.52,1.2,"{""tags"": ""Loss"", ""scenario"": ""win_tp""}","[""VWAP Bounce""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390215,1.29458,"[{""price"": 1.29953, ""percentage"": 100, ""hit"": false}]",1,0.4294,1.29623,98909.98,98337.73,[],[],[],2.5269,3,Monday,False,1643646300000,0,True,-0.2595,-572.25,217,False,False,0.2125,5.1,18360000,16,21,1.29458,1.29953,False,False,1643664338258,0.2212,Forex,1643651180153,January,,-572.25,1332.56,0,10,,2.0,,1.3472,-572.25,[],1643664660000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,VWAP Bounce,18,[],"[""Loss""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080004,20080004,4,20080004,20080004,4,2-Step Forex Challenge,News Fade,EURUSD,EURUSD,SELL,Short,SELL,market,3.35,closed,1643667360000,1643667360000,2022-01-31T22:16:00.000Z,2022-01-31,1643678940000,2022-02-01T01:29:00.000Z,2022-02-01T01:29:00.000Z,1.11133,1.11133,1.11321,1.11321,1.11328,1.10841,-629.02,-629.02,-629.02,-0.9637,0.9637,0.9637,1.5,652.74,652.74,1.5,193,Manual,1.10899,1.1136,1.2,1.1636,1.2,1.11343,1.11109,0.94,0.08,0.8,"{""tags"": ""Loss"", ""scenario"": ""loss_manual""}","[""News Fade""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390215,1.11328,"[{""price"": 1.10841, ""percentage"": 100, ""hit"": false}]",1,0.9637,1.11133,98337.73,97708.71,[],[],[],0.803,4,Monday,False,1643667360000,0,True,0.2363,-629.02,158,False,False,0.134,3.2167,11580000,22,1,1.11328,1.10841,False,False,1643678791328,0.8413,Forex,1643670932061,January,,-629.02,652.74,0,10,,1.5,,0.6638,-629.02,[],1643678940000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,News Fade,81,[],"[""Loss""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080005,20080005,5,20080005,20080005,5,2-Step Forex Challenge,Range Fade,XAUUSD,XAUUSD,SELL,Short,SELL,market,41.93,closed,1643685300000,1643685300000,2022-02-01T03:15:00.000Z,2022-02-01,1643695200000,2022-02-01T06:00:00.000Z,2022-02-01T06:00:00.000Z,2070.423,2070.423,2070.762,2070.762,2070.762,2070.084,-1029.07,-1029.07,-1029.07,-0.723,0.723,0.723,1.0,1423.36,1423.36,1.0,165,SL,2070.349,2070.441,0.2183,0.0535,0.2183,2070.782,2070.395,1.88,2.58,2.5,"{""tags"": ""Loss"", ""scenario"": ""loss_sl""}","[""Range Fade""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390216,2070.762,"[{""price"": 2070.084, ""percentage"": 100, ""hit"": false}]",1,0.723,2070.423,97708.71,96679.64,[],[],[],3.3117,5,Tuesday,False,1643685300000,0,True,-0.5047,-1029.07,305,False,False,0.1146,2.75,9900000,3,6,2070.762,2070.084,False,False,1643694838397,0.734,Commodity,1643687146594,February,,-1029.07,1423.36,0,1.0,,1.0,,1.4567,-1029.07,[],1643695200000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Range Fade,160,[],"[""Loss""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080006,20080006,6,20080006,20080006,6,2-Step Forex Challenge,Breakout,GBPUSD,GBPUSD,BUY,Long,BUY,market,3.82,closed,1643712360000,1643712360000,2022-02-01T10:46:00.000Z,2022-02-01,1643737920000,2022-02-01T17:52:00.000Z,2022-02-01T17:52:00.000Z,1.26669,1.26669,1.26874,1.26874,1.26336,1.27668,782.17,782.17,782.17,0.6142,0.6142,0.6142,3.0,1273.53,1273.53,3.0,426,SL,1.27037,1.26485,1.1036,0.5528,1.1036,1.26896,1.26664,3.77,1.21,1.2,"{""tags"": ""Win"", ""scenario"": ""partial_win""}","[""Breakout""]","[""Win""]",[],,,"[{""pct"": 50, ""pnl"": 391.08}]",,,[],2008,2008,1781955390216,1.26336,"[{""price"": 1.27668, ""percentage"": 100, ""hit"": false}]",1,0.6142,1.26669,96679.64,97461.81,[],[],[],0.5565,6,Tuesday,False,1643712360000,0,True,0.4894,782.17,90,False,True,0.2958,7.1,25560000,10,17,1.26336,1.27668,False,False,1643737339821,0.1733,Forex,1643716045117,February,,782.17,1273.53,391.08,10,,3.0,,1.3173,782.17,[],1643737920000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Breakout,158,[],"[""Win""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080007,20080007,7,20080007,20080007,7,2-Step Forex Challenge,Range Fade,XAUUSD,XAUUSD,SELL,Short,SELL,market,22.04,closed,1643741880000,1643741880000,2022-02-01T18:58:00.000Z,2022-02-01,1643748060000,2022-02-01T20:41:00.000Z,2022-02-01T20:41:00.000Z,2037.98,2037.98,2038.159,2038.159,2038.283,2037.373,-393.82,-393.82,-393.82,-0.589,0.589,0.589,2.0,668.61,668.61,2.0,103,Time Stop,2037.616,2038.336,1.2,1.1735,1.2,2038.159,2037.969,4.0,1.78,2.5,"{""tags"": ""Loss"", ""scenario"": ""planned_rr_hit""}","[""Range Fade""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390216,2038.283,"[{""price"": 2037.373, ""percentage"": 100, ""hit"": false}]",1,0.589,2037.98,97461.81,97067.99,[],[],[],0.4908,7,Tuesday,False,1643741880000,0,True,0.611,-393.82,159,False,False,0.0715,1.7167,6180000,18,20,2038.283,2037.373,False,False,1643747798097,0.3693,Commodity,1643744917770,February,,-393.82,668.61,0,1.0,,2.0,,0.686,-393.82,[],1643748060000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Range Fade,70,[],"[""Loss""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080008,20080008,8,20080008,20080008,8,2-Step Forex Challenge,Pullback,XAUUSD,XAUUSD,SELL,Short,SELL,market,21.67,closed,1643758140000,1643758140000,2022-02-01T23:29:00.000Z,2022-02-01,1643785800000,2022-02-02T07:10:00.000Z,2022-02-02T07:10:00.000Z,1990.514,1990.514,1990.514,1990.514,1990.838,1989.866,0.0,0.0,0.0,0.0,0.0,0.0,2.0,702.55,702.55,2.0,461,BE,1990.125,1990.57,1.2,0.1735,1.2,1990.538,1990.5,2.66,0.59,2.5,"{""tags"": ""BE"", ""scenario"": ""breakeven""}","[""Pullback""]","[""BE""]",[],,,[],,,[],2008,2008,1781955390216,1990.838,"[{""price"": 1989.866, ""percentage"": 100, ""hit"": false}]",1,0.0,1990.514,97067.99,97067.99,[],[],[],0.0,8,Tuesday,False,1643758140000,0,True,1.2,0.0,180,False,False,0.3201,7.6833,27660000,23,7,1990.838,1989.866,False,False,1643785516643,1.3025,Commodity,1643771507496,February,,0.0,702.55,0,1.0,,2.0,,0.7238,0.0,[],1643785800000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Pullback,144,[],"[""BE""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080009,20080009,9,20080009,20080009,9,2-Step Forex Challenge,VWAP Bounce,EURUSD,EURUSD,SELL,Short,SELL,market,156.06,closed,1643805780000,1643805780000,2022-02-02T12:43:00.000Z,2022-02-02,1643821200000,2022-02-02T17:00:00.000Z,2022-02-02T17:00:00.000Z,1.0728,1.0728,1.06514,1.06514,1.07586,1.06514,14140.8,14140.8,14140.8,1.1801,1.1801,1.1801,2.5,11982.21,11982.21,2.5,257,TP,1.06971,1.07349,1.0102,0.2239,1.0102,1.07292,1.06491,0.5,2.57,0.8,"{""tags"": ""Win"", ""scenario"": ""oversized_lot""}","[""VWAP Bounce""]","[""Win""]",[],,,[],,,[],2008,2008,1781955390216,1.07586,"[{""price"": 1.06514, ""percentage"": 100, ""hit"": true}]",1,1.1801,1.0728,97067.99,111208.79,[],[],[],1.1682,9,Wednesday,False,1643805780000,0,True,-0.1699,14140.8,271,False,False,0.1785,4.2833,15420000,12,17,1.07586,1.06514,False,True,1643820741914,1.3041,Forex,1643807411824,February,,14140.8,11982.21,0,10,,2.5,,0.5833,14140.8,[],1643821200000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,split-9,1,2,VWAP Bounce,51,[],"[""Win""]",,False,2022,prop,,[],prop_backtest,prop_backtest,Prop
20080010,20080010,10,20080010,20080010,10,2-Step Forex Challenge,Pullback,XAUUSD,XAUUSD,SELL,Short,SELL,market,50.88,closed,1643833320000,1643833320000,2022-02-02T20:22:00.000Z,2022-02-02,1643852220000,2022-02-03T01:37:00.000Z,2022-02-03T01:37:00.000Z,1994.488,1994.488,1994.53,1994.53,1994.606,1994.194,-211.83,-211.83,-211.83,-0.3535,0.3535,0.3535,2.5,599.24,599.24,2.5,315,Manual,1994.347,1994.639,1.2,1.2842,1.2,1994.533,1994.466,1.19,2.5,2.5,"{""tags"": ""Loss"", ""scenario"": ""left_on_table""}","[""Pullback""]","[""Loss""]",[],,,[],,,[],2008,2008,1781955390216,1994.606,"[{""price"": 1994.194, ""percentage"": 100, ""hit"": false}]",1,0.3535,1994.488,111208.79,110996.96,[],[],[],0.2946,10,Wednesday,False,1643833320000,0,True,0.8465,-211.83,391,False,False,0.2188,5.25,18900000,20,1,1994.606,1994.194,False,False,1643851724015,0.7555,Commodity,1643835466693,February,,-211.83,599.24,0,1.0,,2.5,,0.5388,-211.83,[],1643852220000,[],[],[],{},True,Session,[],8,session:2008,session:2008,2-Step Forex Challenge,backtest,,,,Pullback,125,[],"[""Loss""]",,True,2022,prop,,[],prop_backtest,prop_backtest,Prop
