netPnL,closeTime,openTime,tradeId,ticker,direction,setup,rMultiple,quantity,riskAmount,mae_r,mfe_r,mae_points,mfe_points,highestPrice,lowestPrice,plannedRR,entryPrice,exitPrice,stopLoss,takeProfit,commission_at_entry,spread_pips_at_entry,pip_value_at_entry,closeType,durationMinutes,status
-21.47,2024-05-05T09:19:00.000Z,2024-05-05T07:36:00.000Z,22001,USDJPY,LONG,London Open Liquidity Scalp,-0.5221,0.35,41.12,-1.9423,0.5273,151.871,152.185,152.185,151.871,2.0,152.118,151.991,151.991,152.373,3.0,0.9,9.2,SL,103,closed
95.2,2024-06-30T09:59:00.000Z,2024-06-30T09:37:00.000Z,22002,GBPUSD,SHORT,London Open Liquidity Scalp,1.9792,0.25,48.1,-2.015,0.0,1.27339,1.26958,1.27339,1.26583,2.0,1.26958,1.26583,1.27147,1.2658,3.5,1.2,10.0,MANUAL,22,closed
4.64,2025-06-19T11:33:00.000Z,2025-06-19T08:30:00.000Z,22003,USDJPY,LONG,London Open Liquidity Scalp,0.096,0.22,48.34,-0.7011,0.5504,151.374,151.679,151.679,151.374,2.5,151.545,151.545,151.301,152.155,3.0,0.9,9.2,BE,183,closed
51.44,2025-03-10T13:22:00.000Z,2025-03-10T07:12:00.000Z,22004,GBPUSD,SHORT,London Open Liquidity Scalp,1.254,0.2,41.02,-2.3265,0.2013,1.26732,1.2621,1.26732,1.25632,3.0,1.26252,1.25632,1.26459,1.25632,3.5,1.2,10.0,TP,370,closed
-48.92,2025-01-02T19:22:00.000Z,2025-01-02T15:34:00.000Z,22005,EURUSD,SHORT,London Open Liquidity Scalp,-0.9961,0.32,49.11,-0.4582,1.9799,1.08045,1.07676,1.08128,1.07676,2.0,1.07976,1.08128,1.08128,1.07673,3.0,0.8,10.0,SL,228,closed
22.18,2024-08-08T14:22:00.000Z,2024-08-08T09:54:00.000Z,22006,GBPUSD,SHORT,London Open Liquidity Scalp,0.4448,0.19,49.86,-1.1533,0.6044,1.2789,1.27436,1.2789,1.27204,1.5,1.27592,1.27204,1.2785,1.27204,3.5,1.2,10.0,TP,268,closed
-46.66,2025-09-09T12:05:00.000Z,2025-09-09T07:52:00.000Z,22007,GBPUSD,SHORT,London Open Liquidity Scalp,-0.9269,0.3,50.34,-0.2109,1.4032,1.27692,1.27424,1.27811,1.27424,1.5,1.27657,1.27811,1.27823,1.27408,3.5,1.2,10.0,MANUAL,253,closed
-2.79,2024-02-19T09:45:00.000Z,2024-02-19T08:57:00.000Z,22008,EURUSD,LONG,London Open Liquidity Scalp,-0.0662,0.21,42.14,-0.8069,0.5842,1.08658,1.08941,1.08941,1.08658,2.5,1.08822,1.08832,1.08619,1.0933,3.0,0.8,10.0,BE,48,closed
67.21,2025-03-11T16:16:00.000Z,2025-03-11T14:51:00.000Z,22009,GBPUSD,LONG,London Open Liquidity Scalp,1.3924,0.36,48.27,-0.1073,2.1168,1.26504,1.26806,1.26806,1.26504,1.5,1.26519,1.26723,1.26383,1.26723,3.5,1.2,10.0,TP,85,closed
112.07,2025-03-06T13:09:00.000Z,2025-03-06T07:44:00.000Z,22010,EURUSD,SHORT,London Open Liquidity Scalp,2.4289,0.23,46.14,-2.9122,0.125,1.10274,1.09657,1.10274,1.09174,2.5,1.09682,1.09174,1.09885,1.09174,3.0,0.8,10.0,TP,325,closed
