bug_ref,ticket_ref,cluster,symptom_family,rc_guess,status,tester_quote,notes
TAL-00118#1,TAL-00118,chart_core_ui,first-click-fails,RC-1,user_replied,In input > show price doesn't work,auto-split: one bug per short thread
TAL-00157#1,TAL-00157,chart_core_ui,ghost-after-delete,RC-1,user_replied,Delete box from settings leaves price/time labels on chart,
TAL-00157#2,TAL-00157,chart_core_ui,label-mis-anchor,RC-3,user_replied,Current price label displayed far right instead of at price number start,
TAL-00157#3,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Grid lines render above candles while panning chart,
TAL-00157#4,TAL-00157,chart_core_ui,drag-mis-anchor,RC-3,user_replied,Tool anchored at candle edge jumps to previous candle middle on click,
TAL-00157#5,TAL-00157,chart_core_ui,selection-menu-desync,RC-1,user_replied,Ctrl+drag loses selection but Quick Menu stays visible and settings inaccessible,
TAL-00157#6,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Candles become slightly blurred while a tool is selected,
TAL-00157#7,TAL-00157,chart_core_ui,drag-mis-anchor,RC-3,user_replied,Moving one box drags other tools and the chart together,
TAL-00157#8,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Screenshot glitch when moving tools,
TAL-00157#9,TAL-00157,chart_core_ui,label-mis-anchor,RC-3,user_replied,Price/time labels do not follow tool while dragging; crosshair stuck at old position,
TAL-00157#10,TAL-00157,chart_core_ui,selection-menu-desync,RC-1,user_replied,Ctrl hides price/time labels but Quick Menu remains editable without selection,
TAL-00157#11,TAL-00157,chart_core_ui,label-mis-anchor,RC-3,user_replied,Clicking chart reveals candles through price label overlay,
TAL-00157#12,TAL-00157,chart_core_ui,indicator-lifecycle,RC-6,user_replied,Indicator pane shifts when moving chart with stacked indicators,
TAL-00157#13,TAL-00157,chart_core_ui,indicator-lifecycle,RC-6,user_replied,Dragging indicator price label collapses/displaces chart pane,
TAL-00157#14,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Candle colors and gaps glitch when chart viewport is very small,
TAL-00157#15,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Zoom in/out causes chart rendering glitches,
TAL-00157#16,TAL-00157,chart_core_ui,replay-interaction,RC-8,user_replied,Replay playback does not update certain chart elements,
TAL-00157#17,TAL-00157,chart_core_ui,label-mis-anchor,RC-3,user_replied,Labels hidden until options clicked even when label toggles exist,Arabic: labels should show on click without enabling options first
TAL-00157#18,TAL-00157,chart_core_ui,replay-interaction,RC-8,user_replied,Roll Back advances groups of candles instead of one candle at a time,
TAL-00157#19,TAL-00157,chart_core_ui,replay-interaction,RC-8,user_replied,Seconds hand not working when replay is enabled,
TAL-00157#20,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Week opening gap renders incorrect red candlestick when scrolling back,
TAL-00157#21,TAL-00157,chart_core_ui,slow-interaction,RC-2,user_replied,Chart shows excessive gaps in candle display,
TAL-00157#22,TAL-00157,chart_core_ui,multichart-parity,RC-4,user_replied,Price mismatch when switching 15m to 1m timeframe,
TAL-00157#23,TAL-00157,chart_core_ui,replay-interaction,RC-8,user_replied,Replay slow unless user keeps clicking chart button,
TAL-00157#24,TAL-00157,chart_core_ui,label-mis-anchor,RC-3,user_replied,Price label snaps back when dragged during replay,Arabic: dragging price label while replay on returns to previous position
TAL-00227#1,TAL-00227,chart_core_ui,slow-interaction,RC-1,user_replied,Clone & Copy and paste don't work,auto-split: one bug per short thread
TAL-00284#1,TAL-00284,chart_core_ui,quick-menu-defect,RC-1,user_replied,"If you are on any item in the Quick Menu and press the Esc key, the item will remain marked if I open the Quick Menu again in the same tool.",auto-split: one bug per short thread
TAL-00351#1,TAL-00351,chart_core_ui,slow-interaction,RC-1,user_replied,This box is unnecessary. You can replace it with the background option and adjust the background color.,auto-split: one bug per short thread
TAL-00427#1,TAL-00427,chart_core_ui,indicator-lifecycle,RC-6,user_replied,this indicator not work,auto-split: one bug per short thread
TAL-00812#1,TAL-00812,chart_core_ui,quick-menu-defect,RC-1,resolved,this sholud be behind tickets,auto-split: one bug per short thread
TAL-00813#1,TAL-00813,chart_core_ui,slow-interaction,RC-1,resolved,لما اضغظ على القفل اللي عايسار ما بيتلون في الكويك منيو,auto-split: one bug per short thread
TAL-00814#1,TAL-00814,chart_core_ui,slow-interaction,RC-1,user_replied,why this name?,auto-split: one bug per short thread
TAL-00816#1,TAL-00816,chart_core_ui,stuck-until-click,RC-2,resolved,stuck on screen move with screen,auto-split: one bug per short thread
TAL-00820#1,TAL-00820,chart_core_ui,slow-interaction,RC-1,resolved,can't open anything in FAQ,auto-split: one bug per short thread
TAL-00821#1,TAL-00821,chart_core_ui,slow-interaction,RC-1,user_replied,make it white,auto-split: one bug per short thread
TAL-00823#1,TAL-00823,chart_core_ui,selection-menu-desync,RC-1,resolved,copy/copy line not works ولما اضغط على اغلاق x وارجع اعمل سكرين رح يضل العلامة على الاغلاق باللون الاحمر,auto-split: one bug per short thread
TAL-00824#1,TAL-00824,chart_core_ui,slow-interaction,RC-1,resolved,add alert systm plz,auto-split: one bug per short thread
TAL-00825#1,TAL-00825,chart_core_ui,slow-interaction,RC-1,resolved,لما اعمل كومبير واسحب الشارت لفوق بيتحرك معي الزوج التاني وبيضل معلق على الشاشة,auto-split: one bug per short thread
TAL-00826#1,TAL-00826,chart_core_ui,slow-interaction,RC-1,resolved,لما اضيف تايم فريم ما بيضغط على تثبيت البين رغم انو التايم فريم الموجود بيتثبت عادي,auto-split: one bug per short thread
TAL-00827#1,TAL-00827,chart_core_ui,slow-interaction,RC-1,resolved,"When a comparison symbol is added between EUR and GBP, the comparison should be displayed correctly",auto-split: one bug per short thread
TAL-00829#1,TAL-00829,chart_core_ui,slow-interaction,RC-1,resolved,لما امسك اداة واحركها الماوس يسبقها ببضع اجزاء من الثانية,auto-split: one bug per short thread
