Ticket,Status
TAL-01560,On the way
TAL-01561,On the way
TAL-01562,On the way
TAL-01563,On the way
TAL-01564,On the way
TAL-01565,On the way
TAL-01566,On the way
TAL-01567,On the way
TAL-01568,On the way
TAL-01569,On the way
TAL-01570,On the way
TAL-01571,On the way
TAL-01572,On the way
TAL-01573,On the way
TAL-01574,On the way
TAL-01575,On the way
TAL-01576,On the way
TAL-01577,On the way
TAL-01578,On the way
TAL-01579,On the way
TAL-01580,On the way
TAL-01581,Solved
TAL-01582,Solved
TAL-01583,On the way
TAL-01584,On the way
TAL-01585,Solved
TAL-01586,On the way
TAL-01587,On the way
TAL-01588,Solved
TAL-01589,On the way
TAL-01590,Solved
TAL-01591,On the way
TAL-01592,On the way
TAL-01593,On the way
TAL-01594,On the way
TAL-01595,On the way
TAL-01596,Solved
TAL-01597,On the way
TAL-01598,On the way
TAL-01599,On the way
TAL-01600,Solved
TAL-01601,On the way
TAL-01602,Solved
TAL-01603,On the way
TAL-01604,On the way
TAL-01605,On the way
TAL-01606,On the way
TAL-01607,On the way
TAL-01608,On the way
TAL-01609,Solved
TAL-01610,Solved
TAL-01611,Solved
TAL-01612,Solved
TAL-01613,On the way
TAL-01614,On the way
TAL-01615,On the way
TAL-01616,Solved
TAL-01617,On the way
TAL-01618,On the way
TAL-01619,On the way
TAL-01620,On the way
TAL-01621,On the way
TAL-01622,On the way
TAL-01623,On the way
TAL-01624,On the way
TAL-01625,On the way
TAL-01626,Solved
TAL-01627,On the way
TAL-01628,On the way
TAL-01629,Solved
TAL-01630,On the way
TAL-01631,Solved
TAL-01632,On the way
TAL-01633,On the way
TAL-01634,On the way
TAL-01635,On the way
TAL-01636,On the way
TAL-01637,On the way
TAL-01638,Solved
TAL-01639,On the way
TAL-01640,On the way
TAL-01641,On the way
TAL-01642,On the way
TAL-01643,On the way
TAL-01644,On the way
TAL-01645,On the way
TAL-01646,On the way
TAL-01647,Solved
TAL-01648,On the way
TAL-01649,On the way
TAL-01650,Solved
TAL-01651,On the way
TAL-01652,On the way
TAL-01653,Solved
TAL-01654,On the way
TAL-01655,On the way
TAL-01656,On the way
TAL-01657,On the way
TAL-01658,On the way
TAL-01659,On the way
TAL-01660,On the way
TAL-01661,On the way
TAL-01662,On the way
TAL-01663,On the way
TAL-01664,On the way
TAL-01665,On the way
TAL-01666,On the way
TAL-01667,On the way
TAL-01668,On the way
TAL-01669,On the way
