tradeId,ticker,direction,setup,netPnL,openTime,closeTime,rMultiple,mae_r,mfe_r,quantity,riskAmount,spread_pips_at_entry,commission_at_entry,pip_value_at_entry
demo-1,EURUSD,BUY,Breakout,89.13,1672732800000,1672786800000,0.59,-0.15,1.8,1,150.0,1.4,1.1,10.0
demo-2,GBPUSD,SELL,Pullback,55.1,1672788060000,1672831260000,0.4,-0.24,1.59,1,139.0,0.9,2.8,10.0
demo-3,USDJPY,BUY,Reversal,116.95,1672835460000,1672839060000,0.62,-0.96,0.86,1,188.0,1.1,2.1,8.0
demo-4,XAUUSD,SELL,CSV,-154.75,1672842360000,1673004360000,-1.05,-0.56,0.85,1,147.0,0.7,1.9,10.0
demo-5,NAS100,BUY,Breakout,-38.75,1673014500000,1673183700000,-0.3,-0.27,0.75,1,129.0,1.8,3.6,10.0
demo-6,EURUSD,SELL,Pullback,-127.66,1673193420000,1673369820000,-0.65,-0.4,0.57,1,196.0,1.6,3.1,10.0
demo-7,GBPUSD,BUY,Reversal,-63.87,1673374980000,1673410980000,-0.52,-0.49,0.71,1,123.0,1.6,3.5,10.0
demo-8,USDJPY,SELL,CSV,-60.83,1673421180000,1673449980000,-0.69,-0.11,0.85,1,88.0,0.9,2.5,8.0
demo-9,XAUUSD,SELL,Breakout,243.1,1673454360000,1673666760000,1.65,-0.56,1.81,1,147.0,1.9,2.2,10.0
demo-10,NAS100,BUY,Pullback,351.25,1673669820000,1673774220000,1.67,-0.87,0.43,1,210.0,1.7,2.3,10.0
demo-11,EURUSD,BUY,Reversal,-135.38,1673777220000,1673809620000,-0.76,-0.29,0.85,1,177.0,1.6,1.3,10.0
demo-12,GBPUSD,SELL,CSV,185.51,1673816400000,1674064800000,1.11,-0.48,2.29,1,167.0,2.0,3.3,10.0
demo-13,USDJPY,BUY,Breakout,352.36,1674069780000,1674303780000,1.47,-0.63,0.43,1,240.0,1.4,3.3,8.0
demo-14,XAUUSD,SELL,Pullback,89.49,1674306300000,1674551100000,0.38,-0.93,2.12,1,233.0,0.9,1.7,10.0
demo-15,NAS100,SELL,Reversal,-270.46,1674552000000,1674591600000,-1.33,-0.56,0.37,1,204.0,1.9,1.5,10.0
demo-16,EURUSD,SELL,CSV,-239.1,1674593760000,1674838560000,-1.27,-0.77,0.85,1,188.0,1.2,3.0,10.0
demo-17,GBPUSD,BUY,Breakout,166.17,1674848760000,1675021560000,0.78,-0.11,0.13,1,212.0,1.4,1.0,10.0
demo-18,USDJPY,SELL,Pullback,-115.97,1675029180000,1675057980000,-1.2,-0.12,0.63,1,97.0,0.9,1.4,8.0
demo-19,XAUUSD,SELL,Reversal,-92.35,1675062360000,1675281960000,-0.46,-0.14,0.85,1,201.0,1.2,3.6,10.0
demo-20,NAS100,BUY,CSV,170.56,1675286580000,1675311780000,1.62,-0.81,0.33,1,105.0,0.9,2.3,10.0
demo-21,EURUSD,BUY,Breakout,283.93,1675322580000,1675520580000,1.88,-0.12,1.95,1,151.0,0.7,4.0,10.0
demo-22,GBPUSD,BUY,Pullback,167.98,1675524240000,1675531440000,1.2,-0.25,1.01,1,140.0,0.8,1.0,10.0
demo-23,USDJPY,SELL,Reversal,307.53,1675533720000,1675713720000,1.57,-0.74,1.9,1,196.0,0.8,1.9,8.0
demo-24,XAUUSD,BUY,CSV,195.94,1675718640000,1675747440000,0.9,-0.1,1.19,1,218.0,0.7,2.5,10.0
demo-25,NAS100,BUY,Breakout,431.1,1675757220000,1675843620000,1.86,-0.43,2.26,1,232.0,1.4,1.1,10.0
demo-26,EURUSD,SELL,Pullback,-136.94,1675845540000,1675885140000,-0.6,-0.3,0.85,1,229.0,0.9,2.2,10.0
demo-27,GBPUSD,BUY,Reversal,-204.69,1675892460000,1676032860000,-1.28,-0.06,0.85,1,160.0,0.7,1.6,10.0
demo-28,USDJPY,SELL,CSV,-205.71,1676040780000,1676163180000,-1.22,-0.4,0.45,1,169.0,1.5,4.0,8.0
demo-29,XAUUSD,BUY,Breakout,333.92,1676166060000,1676410860000,1.51,-0.94,0.39,1,221.0,1.8,3.2,10.0
demo-30,NAS100,SELL,Pullback,-157.98,1676411880000,1676483880000,-1.04,-0.24,0.85,1,152.0,1.3,1.8,10.0
demo-31,EURUSD,SELL,Reversal,-56.12,1676488920000,1676514120000,-0.3,-0.37,0.38,1,188.0,0.8,2.3,10.0
demo-32,GBPUSD,BUY,CSV,164.31,1676516400000,1676714400000,2.0,-0.71,0.43,1,82.0,1.8,2.7,10.0
demo-33,USDJPY,BUY,Breakout,110.67,1676723880000,1676792280000,0.99,-0.94,2.34,1,112.0,1.9,1.6,8.0
demo-34,XAUUSD,BUY,Pullback,-207.83,1676799780000,1676914980000,-1.22,-0.44,0.85,1,170.0,1.9,1.7,10.0
demo-35,NAS100,BUY,Reversal,303.21,1676917440000,1676993040000,1.64,-0.37,2.24,1,185.0,1.0,3.4,10.0
demo-36,EURUSD,SELL,CSV,-44.03,1676996640000,1677047040000,-0.49,-0.83,0.85,1,89.0,1.7,3.6,10.0
demo-37,GBPUSD,SELL,Breakout,108.04,1677053760000,1677158160000,0.84,-0.12,1.87,1,129.0,1.5,2.2,10.0
demo-38,USDJPY,SELL,Pullback,178.19,1677159420000,1677407820000,2.05,-0.22,2.31,1,87.0,0.7,2.8,8.0
demo-39,XAUUSD,SELL,Reversal,-155.2,1677413760000,1677575760000,-0.81,-0.42,0.85,1,191.0,0.7,2.3,10.0
demo-40,NAS100,SELL,CSV,61.42,1677581460000,1677822660000,0.47,-0.68,0.85,1,130.0,1.5,1.4,10.0
demo-41,EURUSD,BUY,Breakout,-96.8,1677831780000,1677972180000,-0.61,-0.71,0.85,1,159.0,1.2,3.8,10.0
demo-42,GBPUSD,SELL,Pullback,294.5,1677980820000,1678063620000,1.31,-0.05,0.75,1,225.0,1.7,2.8,10.0
demo-43,USDJPY,BUY,Reversal,139.73,1678073940000,1678225140000,0.72,-0.5,2.17,1,193.0,1.5,1.9,8.0
demo-44,XAUUSD,BUY,CSV,-69.59,1678233180000,1678387980000,-0.5,-0.24,0.14,1,140.0,2.0,2.8,10.0
demo-45,NAS100,SELL,Breakout,-164.28,1678390260000,1678426260000,-0.88,-0.73,0.85,1,186.0,0.9,3.0,10.0
demo-46,EURUSD,BUY,Pullback,330.35,1678434120000,1678437720000,1.76,-0.71,1.16,1,188.0,1.9,1.4,10.0
demo-47,GBPUSD,SELL,Reversal,-194.57,1678440240000,1678505040000,-0.9,-0.95,0.85,1,215.0,1.8,2.6,10.0
demo-48,USDJPY,SELL,CSV,152.62,1678513020000,1678588620000,0.78,-0.66,1.86,1,195.0,1.5,1.8,8.0
demo-49,XAUUSD,BUY,Breakout,127.33,1678596780000,1678632780000,0.91,-0.56,0.4,1,140.0,1.1,1.5,10.0
demo-50,NAS100,SELL,Pullback,241.72,1678638060000,1678738860000,1.3,-0.44,0.56,1,186.0,1.1,3.3,10.0
demo-51,EURUSD,SELL,Reversal,353.96,1678740720000,1678751520000,2.0,-0.33,0.98,1,177.0,1.4,3.2,10.0
demo-52,GBPUSD,SELL,CSV,163.18,1678761240000,1678865640000,1.2,-0.42,1.63,1,136.0,1.6,3.5,10.0
demo-53,USDJPY,SELL,Breakout,224.54,1678873980000,1678935180000,1.04,-0.59,0.14,1,216.0,0.8,2.4,8.0
demo-54,XAUUSD,SELL,Pullback,202.79,1678945620000,1678970820000,1.15,-0.37,2.12,1,177.0,1.7,3.5,10.0
demo-55,NAS100,BUY,Reversal,258.8,1678975680000,1679094480000,1.29,-1.0,0.89,1,200.0,1.7,3.0,10.0
demo-56,EURUSD,BUY,CSV,-122.28,1679096580000,1679110980000,-0.93,-0.28,0.85,1,131.0,1.4,1.7,10.0
demo-57,GBPUSD,BUY,Breakout,-159.83,1679115660000,1679234460000,-1.31,-0.73,0.85,1,122.0,2.0,1.3,10.0
demo-58,USDJPY,BUY,Pullback,-296.01,1679241000000,1679255400000,-1.3,-0.43,0.85,1,227.0,1.4,3.5,8.0
demo-59,XAUUSD,BUY,Reversal,-142.94,1679261040000,1679376240000,-0.91,-0.17,0.85,1,157.0,1.1,2.3,10.0
demo-60,NAS100,SELL,CSV,-55.16,1679378700000,1679551500000,-0.26,-0.45,0.85,1,209.0,1.9,2.9,10.0
